alpha,type,n_steps,wordpair,Clue1,clue_score
RSA,union,4,candle-wick,cake,2.932e-07
RSA,union,8,candle-wick,cake,2.921e-07
RSA,union,16,candle-wick,cake,2.919e-07
RSA,union,32,candle-wick,cake,2.915e-07
RSA,union,64,candle-wick,cake,2.875e-07
RSA,union,128,candle-wick,cake,2.864e-07
RSA,union,256,candle-wick,cake,2.857e-07
RSA,union,512,candle-wick,cake,2.801e-07
RSA,union,1024,candle-wick,cake,2.792e-07
RSA,union,2048,candle-wick,cake,2.792e-07
RSA,union,4096,candle-wick,cake,2.792e-07
RSA,intersection,8,candle-wick,cake,2.941e-07
RSA,intersection,16,candle-wick,cake,2.938e-07
RSA,intersection,32,candle-wick,cake,2.935e-07
RSA,intersection,64,candle-wick,cake,2.903e-07
RSA,intersection,128,candle-wick,cake,2.884e-07
RSA,intersection,256,candle-wick,cake,2.869e-07
RSA,intersection,512,candle-wick,cake,2.819e-07
RSA,intersection,1024,candle-wick,cake,2.804e-07
RSA,intersection,2048,candle-wick,cake,2.792e-07
RSA,intersection,4096,candle-wick,cake,2.792e-07
RSA,union,2,candle-wick,fire,0.0032072643
RSA,union,4,candle-wick,fire,0.0014983473
RSA,union,8,candle-wick,fire,0.0014927151
RSA,union,16,candle-wick,fire,0.0014912819
RSA,union,32,candle-wick,fire,0.001489568
RSA,union,64,candle-wick,fire,0.0014690229
RSA,union,128,candle-wick,fire,0.001463254
RSA,union,256,candle-wick,fire,0.0014596926
RSA,union,512,candle-wick,fire,0.0014311356
RSA,union,1024,candle-wick,fire,0.0014267519
RSA,union,2048,candle-wick,fire,0.0014267316
RSA,union,4096,candle-wick,fire,0.0014266865
RSA,intersection,2,candle-wick,fire,0.0133224502
RSA,intersection,4,candle-wick,fire,0.0015040545
RSA,intersection,8,candle-wick,fire,0.0015029176
RSA,intersection,16,candle-wick,fire,0.0015012915
RSA,intersection,32,candle-wick,fire,0.0014995069
RSA,intersection,64,candle-wick,fire,0.0014835779
RSA,intersection,128,candle-wick,fire,0.0014735182
RSA,intersection,256,candle-wick,fire,0.0014661352
RSA,intersection,512,candle-wick,fire,0.0014406306
RSA,intersection,1024,candle-wick,fire,0.001433009
RSA,intersection,2048,candle-wick,fire,0.0014267517
RSA,intersection,4096,candle-wick,fire,0.0014267345
RSA,union,2,candle-wick,flame,0.0179755693
RSA,union,4,candle-wick,flame,0.0083977008
RSA,union,8,candle-wick,flame,0.008366134
RSA,union,16,candle-wick,flame,0.0083581019
RSA,union,32,candle-wick,flame,0.0083484959
RSA,union,64,candle-wick,flame,0.0082333477
RSA,union,128,candle-wick,flame,0.0082010152
RSA,union,256,candle-wick,flame,0.0081810548
RSA,union,512,candle-wick,flame,0.0080210033
RSA,union,1024,candle-wick,flame,0.0079964342
RSA,union,2048,candle-wick,flame,0.0079963202
RSA,union,4096,candle-wick,flame,0.0079960677
RSA,intersection,2,candle-wick,flame,0.074667568
RSA,intersection,4,candle-wick,flame,0.0084296876
RSA,intersection,8,candle-wick,flame,0.0084233154
RSA,intersection,16,candle-wick,flame,0.008414202
RSA,intersection,32,candle-wick,flame,0.0084041996
RSA,intersection,64,candle-wick,flame,0.0083149235
RSA,intersection,128,candle-wick,flame,0.0082585426
RSA,intersection,256,candle-wick,flame,0.0082171634
RSA,intersection,512,candle-wick,flame,0.0080742191
RSA,intersection,1024,candle-wick,flame,0.008031503
RSA,intersection,2048,candle-wick,flame,0.0079964329
RSA,intersection,4096,candle-wick,flame,0.0079963364
RSA,union,4,candle-wick,holiday,2.053e-07
RSA,union,8,candle-wick,holiday,2.046e-07
RSA,union,16,candle-wick,holiday,2.044e-07
RSA,union,32,candle-wick,holiday,2.041e-07
RSA,union,64,candle-wick,holiday,2.013e-07
RSA,union,128,candle-wick,holiday,2.005e-07
RSA,union,256,candle-wick,holiday,2e-07
RSA,union,512,candle-wick,holiday,1.961e-07
RSA,union,1024,candle-wick,holiday,1.955e-07
RSA,union,2048,candle-wick,holiday,1.955e-07
RSA,union,4096,candle-wick,holiday,1.955e-07
RSA,intersection,16,candle-wick,holiday,2.057e-07
RSA,intersection,32,candle-wick,holiday,2.055e-07
RSA,intersection,64,candle-wick,holiday,2.033e-07
RSA,intersection,128,candle-wick,holiday,2.019e-07
RSA,intersection,256,candle-wick,holiday,2.009e-07
RSA,intersection,512,candle-wick,holiday,1.974e-07
RSA,intersection,1024,candle-wick,holiday,1.964e-07
RSA,intersection,2048,candle-wick,holiday,1.955e-07
RSA,intersection,4096,candle-wick,holiday,1.955e-07
RSA,union,4,candle-wick,it,4.3384e-06
RSA,union,8,candle-wick,it,4.3221e-06
RSA,union,16,candle-wick,it,4.3179e-06
RSA,union,32,candle-wick,it,4.313e-06
RSA,union,64,candle-wick,it,4.2535e-06
RSA,union,128,candle-wick,it,4.2368e-06
RSA,union,256,candle-wick,it,4.2265e-06
RSA,union,512,candle-wick,it,4.1438e-06
RSA,union,1024,candle-wick,it,4.1311e-06
RSA,union,2048,candle-wick,it,4.131e-06
RSA,union,4096,candle-wick,it,4.1309e-06
RSA,intersection,8,candle-wick,it,4.3516e-06
RSA,intersection,16,candle-wick,it,4.3469e-06
RSA,intersection,32,candle-wick,it,4.3417e-06
RSA,intersection,64,candle-wick,it,4.2956e-06
RSA,intersection,128,candle-wick,it,4.2665e-06
RSA,intersection,256,candle-wick,it,4.2451e-06
RSA,intersection,512,candle-wick,it,4.1713e-06
RSA,intersection,1024,candle-wick,it,4.1492e-06
RSA,intersection,2048,candle-wick,it,4.1311e-06
RSA,intersection,4096,candle-wick,it,4.131e-06
RSA,union,2,candle-wick,lamp,0.0254178941
RSA,union,4,candle-wick,lamp,0.011874554
RSA,union,8,candle-wick,lamp,0.0118299179
RSA,union,16,candle-wick,lamp,0.0118185602
RSA,union,32,candle-wick,lamp,0.0118049771
RSA,union,64,candle-wick,lamp,0.0116421548
RSA,union,128,candle-wick,lamp,0.0115964358
RSA,union,256,candle-wick,lamp,0.0115682114
RSA,union,512,candle-wick,lamp,0.0113418947
RSA,union,1024,candle-wick,lamp,0.0113071533
RSA,union,2048,candle-wick,lamp,0.0113069921
RSA,union,4096,candle-wick,lamp,0.0113066351
RSA,intersection,4,candle-wick,lamp,0.0119197842
RSA,intersection,8,candle-wick,lamp,0.0119107738
RSA,intersection,16,candle-wick,lamp,0.0118978872
RSA,intersection,32,candle-wick,lamp,0.0118837435
RSA,intersection,64,candle-wick,lamp,0.0117575049
RSA,intersection,128,candle-wick,lamp,0.011677781
RSA,intersection,256,candle-wick,lamp,0.0116192698
RSA,intersection,512,candle-wick,lamp,0.0114171431
RSA,intersection,1024,candle-wick,lamp,0.0113567415
RSA,intersection,2048,candle-wick,lamp,0.0113071514
RSA,intersection,4096,candle-wick,lamp,0.0113070151
RSA,union,2,candle-wick,light,0.0489539059
RSA,union,4,candle-wick,light,0.0228699434
RSA,union,8,candle-wick,light,0.0227839759
RSA,union,16,candle-wick,light,0.0227621015
RSA,union,32,candle-wick,light,0.022735941
RSA,union,64,candle-wick,light,0.0224223513
RSA,union,128,candle-wick,light,0.0223342983
RSA,union,256,candle-wick,light,0.022279939
RSA,union,512,candle-wick,light,0.0218440616
RSA,union,1024,candle-wick,light,0.021777151
RSA,union,2048,candle-wick,light,0.0217768406
RSA,union,4096,candle-wick,light,0.021776153
RSA,intersection,2,candle-wick,light,0.2033464998
RSA,intersection,4,candle-wick,light,0.0229570551
RSA,intersection,8,candle-wick,light,0.0229397013
RSA,intersection,16,candle-wick,light,0.0229148821
RSA,intersection,32,candle-wick,light,0.022887642
RSA,intersection,64,candle-wick,light,0.0226445113
RSA,intersection,128,candle-wick,light,0.022490966
RSA,intersection,256,candle-wick,light,0.0223782756
RSA,intersection,512,candle-wick,light,0.0219889872
RSA,intersection,1024,candle-wick,light,0.021872656
RSA,intersection,2048,candle-wick,light,0.0217771474
RSA,intersection,4096,candle-wick,light,0.0217768848
RSA,union,2,candle-wick,match,0.0066932397
RSA,union,4,candle-wick,match,0.0031269009
RSA,union,8,candle-wick,match,0.003115147
RSA,union,16,candle-wick,match,0.0031121562
RSA,union,32,candle-wick,match,0.0031085794
RSA,union,64,candle-wick,match,0.0030657037
RSA,union,128,candle-wick,match,0.0030536647
RSA,union,256,candle-wick,match,0.0030462324
RSA,union,512,candle-wick,match,0.0029866369
RSA,union,1024,candle-wick,match,0.0029774885
RSA,union,2048,candle-wick,match,0.0029774461
RSA,union,4096,candle-wick,match,0.0029773521
RSA,intersection,4,candle-wick,match,0.0031388113
RSA,intersection,8,candle-wick,match,0.0031364386
RSA,intersection,16,candle-wick,match,0.0031330452
RSA,intersection,32,candle-wick,match,0.0031293208
RSA,intersection,64,candle-wick,match,0.0030960786
RSA,intersection,128,candle-wick,match,0.0030750851
RSA,intersection,256,candle-wick,match,0.0030596775
RSA,intersection,512,candle-wick,match,0.0030064519
RSA,intersection,1024,candle-wick,match,0.0029905465
RSA,intersection,2048,candle-wick,match,0.002977488
RSA,intersection,4096,candle-wick,match,0.0029774521
RSA,union,2,candle-wick,melt,1.2127e-06
RSA,union,4,candle-wick,melt,5.666e-07
RSA,union,8,candle-wick,melt,5.644e-07
RSA,union,16,candle-wick,melt,5.639e-07
RSA,union,32,candle-wick,melt,5.632e-07
RSA,union,64,candle-wick,melt,5.555e-07
RSA,union,128,candle-wick,melt,5.533e-07
RSA,union,256,candle-wick,melt,5.519e-07
RSA,union,512,candle-wick,melt,5.411e-07
RSA,union,1024,candle-wick,melt,5.395e-07
RSA,union,2048,candle-wick,melt,5.395e-07
RSA,union,4096,candle-wick,melt,5.395e-07
RSA,intersection,4,candle-wick,melt,5.687e-07
RSA,intersection,8,candle-wick,melt,5.683e-07
RSA,intersection,16,candle-wick,melt,5.677e-07
RSA,intersection,32,candle-wick,melt,5.67e-07
RSA,intersection,64,candle-wick,melt,5.61e-07
RSA,intersection,128,candle-wick,melt,5.572e-07
RSA,intersection,256,candle-wick,melt,5.544e-07
RSA,intersection,512,candle-wick,melt,5.447e-07
RSA,intersection,1024,candle-wick,melt,5.419e-07
RSA,intersection,2048,candle-wick,melt,5.395e-07
RSA,intersection,4096,candle-wick,melt,5.395e-07
RSA,union,2,candle-wick,smell,7.281e-06
RSA,union,4,candle-wick,smell,3.4015e-06
RSA,union,8,candle-wick,smell,3.3887e-06
RSA,union,16,candle-wick,smell,3.3855e-06
RSA,union,32,candle-wick,smell,3.3816e-06
RSA,union,64,candle-wick,smell,3.3349e-06
RSA,union,128,candle-wick,smell,3.3218e-06
RSA,union,256,candle-wick,smell,3.3138e-06
RSA,union,512,candle-wick,smell,3.2489e-06
RSA,union,1024,candle-wick,smell,3.239e-06
RSA,union,2048,candle-wick,smell,3.2389e-06
RSA,union,4096,candle-wick,smell,3.2388e-06
RSA,intersection,4,candle-wick,smell,3.4145e-06
RSA,intersection,8,candle-wick,smell,3.4119e-06
RSA,intersection,16,candle-wick,smell,3.4082e-06
RSA,intersection,32,candle-wick,smell,3.4041e-06
RSA,intersection,64,candle-wick,smell,3.368e-06
RSA,intersection,128,candle-wick,smell,3.3451e-06
RSA,intersection,256,candle-wick,smell,3.3284e-06
RSA,intersection,512,candle-wick,smell,3.2705e-06
RSA,intersection,1024,candle-wick,smell,3.2532e-06
RSA,intersection,2048,candle-wick,smell,3.239e-06
RSA,intersection,4096,candle-wick,smell,3.2389e-06
RSA,union,2,candle-wick,wax,0.1175328646
RSA,union,4,candle-wick,wax,0.0549081817
RSA,union,8,candle-wick,wax,0.0547017833
RSA,union,16,candle-wick,wax,0.0546492653
RSA,union,32,candle-wick,wax,0.0545864568
RSA,union,64,candle-wick,wax,0.0538335629
RSA,union,128,candle-wick,wax,0.0536221575
RSA,union,256,candle-wick,wax,0.053491647
RSA,union,512,candle-wick,wax,0.0524451539
RSA,union,1024,candle-wick,wax,0.052284509
RSA,union,2048,candle-wick,wax,0.0522837638
RSA,union,4096,candle-wick,wax,0.0522821129
RSA,intersection,2,candle-wick,wax,0.4882122512
RSA,intersection,4,candle-wick,wax,0.0551173271
RSA,intersection,8,candle-wick,wax,0.0550756627
RSA,intersection,16,candle-wick,wax,0.0550160746
RSA,intersection,32,candle-wick,wax,0.0549506739
RSA,intersection,64,candle-wick,wax,0.0543669443
RSA,intersection,128,candle-wick,wax,0.0539982992
RSA,intersection,256,candle-wick,wax,0.0537277422
RSA,intersection,512,candle-wick,wax,0.0527931043
RSA,intersection,1024,candle-wick,wax,0.052513806
RSA,intersection,2048,candle-wick,wax,0.0522845004
RSA,intersection,4096,candle-wick,wax,0.0522838699
RSA,union,2,olive-real,branch,0.0129792146
RSA,union,4,olive-real,branch,0.0050431707
RSA,union,8,olive-real,branch,0.0034601008
RSA,union,16,olive-real,branch,0.0028525105
RSA,union,32,olive-real,branch,0.0025163564
RSA,union,64,olive-real,branch,0.0023273658
RSA,union,128,olive-real,branch,0.002214305
RSA,union,256,olive-real,branch,0.0021550462
RSA,union,512,olive-real,branch,0.0021317842
RSA,union,1024,olive-real,branch,0.0021205156
RSA,union,2048,olive-real,branch,0.0021162613
RSA,union,4096,olive-real,branch,0.0021142051
RSA,intersection,16,olive-real,branch,0.0051008718
RSA,intersection,32,olive-real,branch,0.0035283929
RSA,intersection,64,olive-real,branch,0.0028399324
RSA,intersection,128,olive-real,branch,0.0024708851
RSA,intersection,256,olive-real,branch,0.002283469
RSA,intersection,512,olive-real,branch,0.0021791551
RSA,intersection,1024,olive-real,branch,0.0021417789
RSA,intersection,2048,olive-real,branch,0.0021241284
RSA,intersection,4096,olive-real,branch,0.0021186739
RSA,union,2,olive-real,eat,0.0020061656
RSA,union,4,olive-real,eat,0.0007795106
RSA,union,8,olive-real,eat,0.0005348194
RSA,union,16,olive-real,eat,0.0004409056
